# Golden vector: Zeta.Core.Cl3.gp — 200 random Cl(3,0) geometric products.
#
# GENERATED BY THE F# MODULE (src/Core/Cl3.fs), consumed by the TypeScript
# geometricProduct in ../conformal-embedding-and-curvature-budget.ts. Agreement is
# therefore evidence, not self-consistency.
#
#   dotnet build src/Core/Core.fsproj -c Release
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-cl3-products.fsx
#
# Cl3.fs is NOT self-contained under dotnet fsi (AlgebraInterfaces -> IGroup -> ...),
# so the generator takes a project reference to the built DLL rather than #load.
#
# Inputs are a deterministic LCG seeded from COMMON_SEED=4 — no ambient entropy.
# Format: a|b|a*b, each an 8-tuple in Mv MASK order [S,E1,E2,E12,E3,E13,E23,E123].
-4.167251482140273,-0.290607581846416,3.1199234421364963,1.630527786910534,0.25191435823217034,4.7436199663206935,-0.6786994286812842,3.677441393956542|0.8251237240619957,-1.4863856276497245,-0.06033574463799596,-4.026426803320646,-0.34092105692252517,-3.655490563251078,-4.501172734890133,-3.3295765798538923|29.81416924038639,32.014807604076594,-21.45234499337034,44.51981047201119,15.893377667444108,20.158822365009485,-0.4888958813414215,29.347275638703206
4.736298688221723,-2.673798161558807,-3.333087631035596,-3.7686867266893387,3.4691951260901988,-0.4797396855428815,3.3719529188238084,1.3443488162010908|3.2756354403682053,-4.491368285380304,-3.8266471889801323,-0.2759432978928089,4.019737730268389,-3.747106068767607,-1.5170441777445376,2.520441794767976|53.11267432839307,-11.917518587091953,-32.66015231251221,-17.60525303840042,66.0962496783516,5.7075337923678955,-23.02904442500513,-25.178911455154267
4.66165128396824,-1.267194296233356,-4.270525679457933,-1.4457833394408226,3.9600712270475924,0.3329032985493541,-4.939972648862749,2.096952935680747|2.571237545926124,0.44589406345039606,-3.3274619025178254,3.4149045683443546,1.3881684863008559,-2.7384031424298882,-4.627259282860905,-1.2047470640391111|16.645035142165653,33.272696466861206,-24.851289189511675,31.530490954161614,14.395651879713025,9.95781877157999,-27.384372528365958,4.366162072100066
-1.5361216734163463,-4.789820644073188,-1.5504534472711384,4.273523837327957,4.362329526338726,-3.971557770855725,3.4625197178684175,4.780926359817386|3.2808692497201264,3.9179001981392503,-2.9647879418917,-2.0696363784372807,4.7879002639092505,2.7634099638089538,3.24810748687014,-0.8401346113532782|14.266978966592406,-81.30242089503739,11.594573698011475,79.16947317747623,27.996075982295316,-23.38058618444228,31.046020196274835,18.92657959928166
-1.4804637874476612,0.8810950117185712,-2.2750743036158383,2.4521925672888756,1.6789912641979754,-3.735682708211243,1.006035243626684,-1.6506364289671183|-3.317545864265412,2.796445772983134,2.3027260112576187,-1.5191474370658398,3.795196490827948,-4.600828127004206,2.2260910435579717,3.3242095727473497|-1.7057867368622146,-10.99526018920248,-8.800759592137682,5.509027602666618,-22.83622225093501,36.20428581803053,-3.863627553325421,10.2203561278585
1.1016657133586705,-0.4148782370612025,0.5842677573673427,-2.5831475108861923,1.6533120558597147,-1.616484452970326,2.841788528021425,3.73778092674911|-4.862099837046117,-2.8923766827210784,-3.6652093497104943,-3.5220380313694477,-1.085945030208677,3.932768083177507,4.835835674311966,-1.0818622168153524|-20.53263789749606,-9.391213480525915,-7.52135490498268,25.03541852231931,8.069151119053902,29.273697949248017,2.4256774535539094,-40.83153565626348
0.7547919754870236,1.7536255763843656,-2.4379118834622204,0.6328051164746284,3.1437818915583193,4.289570930413902,-3.7793964543379843,-4.260883340612054|-3.531900334637612,-3.0931777646765113,1.1844760435633361,1.4094542898237705,-4.048792121466249,0.12613096740096807,-4.606404958758503,3.3664241898804903|-28.20474068518087,-29.011080393192323,57.62013770625792,40.48260902081339,18.91191559341933,3.2349661614805223,41.06769318819492,18.29792347013916
4.669924520421773,1.2847692938521504,2.0737615297548473,2.579023838043213,2.499125136528164,-2.678435747511685,-0.13208635384216905,4.8787308763712645|-1.6720706480555236,-0.8462711935862899,-3.526788365561515,2.71426385268569,0.39112176978960633,-4.385760226286948,-0.62226781854406,-4.236235162243247|-13.393832703363497,-8.435357391879752,-22.81455165702469,-4.17915670877698,-14.326664806332737,11.359669908824278,1.4095772868128629,-21.187428673014388
-2.9404427553527057,2.418512632139027,-0.20947787212207913,4.623153917491436,-2.066699468996376,-0.870876801200211,3.358761554118246,-0.7105944398790598|2.581250306684524,4.587326184846461,-1.234213758725673,1.6574968583881855,1.7709975712932646,-1.2198793748393655,2.8037195070646703,-1.2502223532646894|-18.92774579011306,-10.476673321068597,-0.41238453255249363,4.705507777122892,1.0184076076811897,21.358809793756894,-4.5832986300893435,27.462211632658743
3.532668419647962,-3.3883878169581294,-1.9855365832336247,0.8965124934911728,3.9005011902190745,-3.4525776701048017,-3.5072006308473647,-3.4136554319411516|-0.32409201143309474,4.600894399918616,0.9453480574302375,3.2054313831031322,-1.9442294142208993,1.6298465197905898,1.5991388051770627,0.38400241173803806|-16.522201478805215,31.724668532418775,-17.311078946666754,24.904895339782556,12.968306045027939,12.183951603136096,-22.576305569916045,-1.8321000900925841
-4.530279308091849,-0.5873785866424441,-4.946461722720414,0.16908857971429825,-4.52984539559111,-1.5278169186785817,-1.3307114341296256,-4.257826367393136|3.0187322315759957,-1.8829896440729499,1.5884046512655914,-2.099482621997595,0.01311049098148942,-3.332462669350207,0.9786812379024923,-3.9790991973131895|-40.86240915402108,-19.602648118529377,4.107833936259915,23.673218662480792,-25.646943993463502,-13.600068665736242,12.805403164404606,2.559493500406539
4.3976610829122365,-2.663109335117042,-0.40344103472307324,-2.2754569351673126,2.7019226388074458,2.7346737636253238,-1.7379000061191618,-1.038059638813138|3.35053724469617,-1.5374521678313613,4.339822966139764,3.7363766692578793,-4.411578660365194,3.7703598057851195,4.819147342350334,0.18485636450350285|11.916671835881804,-40.979337883240504,-4.477876644494153,-18.022734070554375,-6.287034563112549,41.7532445133037,25.324760909742057,-3.040224160202079
-3.6350790108554065,4.741567154414952,0.08819711161777377,-2.764791287481785,-4.979298466350883,2.97670956235379,1.9947138777934015,3.5581142362207174|3.1211216119118035,0.2436774829402566,-2.712170679587871,-1.9671970419585705,4.279841559473425,-2.936472431756556,-4.965552969370037,-1.5548254828900099|-13.000684216611242,40.473017077301066,-29.784130054160972,17.53392779483731,-38.0745956881461,68.91153798162375,-9.331100432322925,-0.006489945339101411
-3.683583817910403,0.7005949737504125,4.103983722161502,2.6370901614427567,-4.408378095831722,-4.474347461946309,4.315219817217439,3.8255866151303053|0.8642682922072709,-3.779133162461221,2.339009407442063,-0.689238179475069,1.5132439532317221,1.7953011160716414,0.9505995898507535,-0.7089174445718527|5.557421755719387,24.089177161979134,25.174649470552964,42.88087299529208,-26.721433214709695,-26.637521878223602,0.14491573228652754,0.40252250081078733
2.468546808231622,-4.120284910313785,-2.2746908222325146,0.004863925278186798,-4.304951259400696,-3.7305883737280965,-3.228683213237673,2.9166707303375006|-4.427255380433053,4.18388030026108,4.59330829558894,-0.8326092921197414,3.017235698644072,1.211987822316587,-1.3192663178779185,-3.9932703506201506|-39.69203568669315,11.614415284184414,27.83081303803107,5.670779361570773,57.40103674198745,-0.08762556788309439,55.70486475531351,-7.351433821440253
0.6841973890550435,-0.5885346559807658,4.9144232342951,-0.5731216073036194,-0.8984185918234289,-2.468557362444699,-2.614686863962561,4.716101689264178|1.0733023029752076,3.826779150404036,1.719030428212136,4.150998946279287,-0.8018416515551507,3.4329419350251555,0.5000873445533216,-1.4538131561130285|26.66793477550187,-20.494500408432398,28.525798016744616,-27.81015933586541,-7.544051893405898,13.21374514345206,5.763241907378996,-22.13022651004673
-1.1522631789557636,-4.229819546453655,-3.1105649773962796,-3.119846172630787,-3.552946352865547,4.945748257450759,0.02912658965215087,-4.283963525667787|0.4016774264164269,3.622921542264521,3.327839623671025,-2.3639322631061077,-0.4849121696315706,-1.6744354227557778,4.221007989253849,-4.591552941128612|-43.302494764936824,-13.740146943079385,15.66542042435223,-3.8700540765284175,-49.382476835146804,5.713100030283204,-4.534444305156331,-25.933994118814265
1.2400183756835759,1.646992010064423,1.4993130485527217,-3.8946176320314407,-0.3924664272926748,4.331878046505153,3.7992842472158372,-3.108946057036519|0.1775904488749802,-2.3000374948605895,0.3497590753249824,1.6982501558959484,-3.1451655528508127,4.380303747020662,2.567952403333038,-4.487574910745025|-37.87807379966786,6.659861528432847,-49.460088921668614,22.49607605736089,3.531755988791747,-8.519458785174013,23.45661895705873,-7.125742787133712
2.913379699457437,2.8248284803703427,2.598885193001479,0.4819280281662941,-3.9256763248704374,-1.4300715597346425,2.391922583337873,-4.426845172420144|4.9797462043352425,2.714853943325579,4.408171351533383,-1.0106288455426693,1.906942876521498,-4.4143456825986505,2.5524867489002645,0.07195760495960712|14.534593618772766,17.798248450029888,55.6414651302368,-10.780489583433074,-30.999517509535973,19.03710925677205,33.36620829814845,14.531921166583913
4.066642813850194,1.0534152062609792,-0.5761612881906331,4.902826696634293,3.3289608196355402,4.475542749278247,3.477787447627634,-2.6732382643967867|1.7208339017815888,4.728844636119902,-2.805181604344398,4.612427558749914,-2.4613078287802637,-1.6968419635668397,4.848286563064903,4.470803150907159|-14.527338932616003,1.992611687220414,-30.879381879858872,20.82642337396227,-29.85932147078755,-14.727451068687213,57.48811658811209,49.99841621303855
4.420114115346223,0.9242744045332074,-4.034279764164239,-2.35021386295557,3.218216246459633,-0.32508884090930223,-1.922765935305506,-2.176280850544572|4.022527125198394,-3.9175197621807456,-0.15519847394898534,-2.003411930054426,3.1700957589782774,-1.8575964728370309,3.1661367579363286,0.1376421470195055|26.06229091528273,-9.212899317874788,-40.25946555362119,-36.11198259662429,6.859085995758674,-5.0566622089221225,-1.090903042418228,-19.12923501389421
-2.4094156245701015,-3.2542748330160975,0.3469357709400356,2.2681859880685806,-3.670904429163784,-0.5202292697504163,-0.06477296585217118,4.718293426558375|-3.4095161664299667,2.270603277720511,2.3115814360789955,4.772193264216185,-0.8510985574685037,-3.163973712362349,3.6289316206239164,-3.578923111781478|9.403298601330516,-19.313932695925065,-27.12272900113097,-16.326920217796754,13.054121789207386,19.377071967819433,26.721576080493985,-36.56906623481381
-4.533671259414405,-0.5821165395900607,4.195750697981566,-0.5579222366213799,-3.6361612170003355,3.7624053983017802,4.896340330597013,-0.47782720066607|-0.41065363911911845,-1.1826468398794532,2.7419781940989196,-1.3542444072663784,1.1255913996137679,-0.8852913090959191,4.146674813237041,2.4646315444260836|-6.588569387086774,0.682629994933027,16.259491069267877,-19.701042876817493,6.055814280068907,-7.200413983088062,-12.576126863102045,-21.487810541828747
2.5821067322976887,3.307662126608193,2.0212897728197277,-1.1308151483535767,4.514920248184353,3.8306459737941623,0.27975730365142226,-0.5205326247960329|3.0177414161153138,-1.848833835683763,-3.148828756529838,3.2749593816697598,4.428382182959467,-0.4178200149908662,3.791479372885078,-0.918247839435935|19.071132025757095,23.229347723675655,-12.468460437084799,-22.72608229687206,39.97057867988287,28.489293234359426,43.79985143871266,30.766943458967404
0.49416224705055356,3.1237708823755383,0.588537126313895,1.1359025165438652,3.840048706624657,-0.6971298577263951,4.254270677920431,-0.5582908634096384|1.083280083257705,-3.5202245553955436,-2.702300597447902,4.143660832196474,-1.5617752796970308,-0.4097837070003152,2.1725677116774023,0.6308066565543413|-31.93174095934702,-2.6722395688281164,1.04669833273976,-0.0259595916265678,14.025741913008977,-9.358833437586007,16.6525801457158,4.012704557052184
2.155223556328565,0.7917163195088506,-1.7066637356765568,-0.40770210325717926,3.637167273554951,4.983002464286983,-4.786717446986586,3.7428519409149885|-3.42244217870757,0.6652110302820802,3.0584608647041023,0.43688802048563957,0.963804314378649,4.113640612922609,-1.1887283832766116,-3.1099151726812124|-22.93403230789074,-22.373655447223218,12.65990199613417,-15.577650521264319,3.3369287497111157,-24.02368590179617,4.9330344521587435,-30.66119670052022
-3.7104966933839023,2.3288019048050046,4.537390067707747,2.227110005915165,3.8194534392096102,-2.2644856246188283,1.149804403539747,-1.9257284794002771|-4.748845535796136,-4.901200174354017,-1.1962868017144501,-3.0841591022908688,2.6165406429208815,-1.374677182175219,2.5160322501324117,4.932798342779279|21.134496831500392,16.955375605094165,-28.499784002269173,38.23905849570496,-46.280129986537524,25.131644830084397,32.6169366048593,-11.358231610178445
1.767698519397527,4.719127980060875,-0.8967392076738179,3.542749732732773,-0.7096809311769903,3.360424186103046,-0.9685429208911955,1.3597654830664396|0.1886342209763825,-1.4238343900069594,4.272073346655816,-4.207108709961176,1.1855877586640418,-4.028820344246924,0.7574001490138471,1.0020807478576899|16.75612535619864,10.80105890354844,-10.148628143677307,14.372900096509603,-6.636883782400953,-8.205275474974634,6.0530995196696304,-3.8016463090923613
1.9819905911572278,2.788591762073338,1.529370069038123,-3.5697001591324806,4.3184104026295245,3.4682970819994807,4.1754708043299615,-2.369446689262986|-3.8164543244056404,1.1722290376201272,3.645517628174275,-1.393417101353407,-3.9871659106574953,3.2451747497543693,-0.9569647745229304,2.385987462475896|-22.518244317106657,-59.27431091191178,-10.242238070304856,55.855167149590464,-30.869385772406282,-8.762384061678045,-29.04535511531144,6.606742397502434
-0.778954706620425,-3.9201126573607326,0.4849989037029445,4.04451496899128,-3.0873919441364706,2.355245123617351,-0.3763148211874068,-2.0997236389666796|4.113421787042171,1.1162076378241181,4.924381736200303,-1.9033687002956867,2.3679024376906455,-1.3356814021244645,0.29270676663145423,-0.7075042184442282|-3.033505246439128,5.646893035028064,2.2568756451485297,-4.700414030881448,-11.077111620185343,16.042848627824704,15.925031944369918,-5.150284209709136
-0.9549872274510562,-4.272494311444461,3.145287677180022,1.6788216307759285,3.1970270187593997,3.877927246503532,-4.4824508228339255,2.0399978663772345|-4.685220110695809,1.6666158149018884,-0.6976392609067261,0.07892394438385963,-4.176850018557161,-1.5563314268365502,4.213293434586376,-3.2754951249808073|13.276664750593536,-17.49271324179687,-27.829814006054317,-38.557624500232926,4.659319056016219,14.987383976335746,26.383895171954496,-31.06093850446443
4.660527550149709,1.3327346416190267,4.56623614532873,-1.359681785106659,1.78601665655151,-1.6714507387951016,-1.5268788510002196,0.6532029341906309|-4.041878308635205,-2.013735151849687,0.5415090802125633,-4.679479841142893,-3.37133172666654,3.671328923664987,-3.32621673354879,-3.6451642122119665|-27.99351217839086,1.5444412480757843,-5.3278678925516445,-26.274067938858824,-37.66508397982396,36.63816678623499,-19.05196246941153,-40.61952933855585
1.2957085226662457,-2.1613410813733935,-2.9402965609915555,0.1247749850153923,-1.8408392905257642,-0.6901361467316747,0.9560688189230859,-3.049201453104615|1.422933277208358,4.017262891866267,4.347240577917546,1.4146511442959309,4.087283241096884,-2.8165492275729775,-0.9197263256646693,-1.5987685602158308|-33.261137912581916,-2.4498160767639163,9.796362969502448,-8.420828655294335,14.597567766891476,1.017173564401931,-13.265355377941926,-7.957183036149663
0.5751589615829289,2.405160111375153,-0.4315919359214604,-0.9083659201860428,-0.9637227072380483,0.6101705832406878,0.656669286545366,-1.373886438086629|0.6726851058192551,-0.6439850246533751,-2.256671574432403,4.655719976872206,0.9295551874674857,0.4392321174964309,-2.2490285546518862,3.501356625929475|9.164566788352833,0.9081183838467277,9.00044780172051,-6.629579202537987,13.365217441547486,-0.3253935910014625,9.118041002845183,-8.50719092138219
4.894966513384134,1.2839166866615415,-2.9590720986016095,-1.8609904870390892,-3.247581103350967,3.078315886668861,-0.13519097352400422,-0.2701012883335352|0.6298320111818612,-3.8717769971117377,-1.5530948084779084,1.9143016077578068,-2.31122120982036,0.39591783192008734,3.291192741598934,4.587798016145825|14.241411986207805,-13.90842519791001,10.803023409178303,-29.712418475999332,-1.825840030996615,-4.37444876504272,31.38614625333317,31.072822592679742
1.7977031995542347,-3.3065960137173533,-0.1932997931726277,1.378687173128128,3.632872386369854,1.4986930740997195,4.84498388832435,2.545326603576541|0.5508132022805512,-4.136114246211946,4.2434628191404045,2.512142863124609,-2.924016898032278,-3.616200336255133,-0.031636899802833796,-1.2369358446449041|8.48161804164529,11.907632853605657,-20.192299353848945,-38.9646673479875,-10.341671131134554,-4.235844465071441,-9.926114066111143,-22.72010973216666
-1.6525745834223926,3.6938942270353436,2.95102161122486,-3.688875176012516,-3.631840997841209,1.4662423310801387,-4.788700903300196,-0.5370082799345255|-3.5989477369003,-3.627701117657125,2.3618526267819107,0.09716244414448738,-1.645068449433893,-3.0187837639823556,-4.912982566747814,-0.8254145365208387|-13.693679300185359,-36.26518089213518,-37.101515572823466,58.08622424224048,3.7766391928614036,2.7527051733127434,16.98225379764726,13.68168293963145
-4.4953260640613735,-2.9375434992834926,-4.3099518795497715,-4.299547895789146,0.3890343592502177,-3.7385492818430066,3.3024692512117326,4.8559104185551405|-4.770042847376317,-1.3829450821503997,-1.1507146921940148,4.518450926989317,1.7171219387091696,-3.110446953214705,-1.636199972126633,-3.1102857645601034|59.43840975586929,57.65824576753596,9.343493374213919,-11.644022195215742,-30.069741198735862,11.604866669928512,-43.195537648806656,-32.27477274925201
2.501473904121667,-1.832043225876987,0.7457951153628528,-0.5505294725298882,4.24148844787851,3.7253521708771586,3.556818326469511,-3.045479068532586|-0.4540797951631248,3.591043264605105,-2.053669069427997,3.7012707628309727,2.656786444131285,3.8082424690946937,1.3024645461700857,2.770724641159177|-6.321534170822236,-3.958476438886591,-7.630442235008951,22.946741050183576,5.438549803215083,-34.46669599196383,12.207586105449286,37.74703288071047
1.2163348426111042,1.8460578890517354,3.721137351822108,-3.525346517562866,3.961745633278042,3.1345274997875094,1.8872796720825136,-0.27831663377583027|1.6913181287236512,-0.8085497980937362,1.4619189384393394,-4.47794372215867,-3.654108380433172,-4.690236249007285,-3.4311259747482836,-0.650187274441123|-3.262159748889427,21.04784225593648,2.9191132088951335,-5.357355862113336,-22.93323576766246,19.42751112072502,-51.916794157603775,-1.109471729695428
0.5492506478913128,3.2742195622995496,2.474808960687369,-3.4188537672162056,-2.5487353443168104,2.076104390434921,-4.943603987339884,4.727679705247283|-1.7824879917316139,-2.905241115950048,-1.851661850232631,-0.31658632680773735,2.009138392750174,-4.285356984473765,-2.633999122772366,2.704096408560872|-38.18576553548397,18.75171536610537,-47.689071453389204,36.30745156665935,-7.283903716600097,2.621425791273019,-12.571492523934486,7.183892070677752
0.7966995914466679,4.8466983856633306,-3.503596552181989,2.3377659171819687,-1.1482613696716726,3.3227574033662677,0.05131944781169295,3.0252138059586287|4.259847302455455,-0.36825065966695547,3.076236757915467,-0.4108789749443531,-2.7010379335843027,2.966453260742128,-3.191073110792786,4.330615485087037|-27.900915567781553,29.967580708605183,5.9564658902454575,20.862071542912567,10.699171362512095,1.4314067595504003,22.246983009238136,-4.818849869714164
-1.9733556802384555,3.0495478259399533,-3.718626305926591,0.9520015493035316,2.9200950474478304,1.7077079741284251,3.4588114521466196,-2.9755885992199183|-2.087346154730767,-3.3375015249475837,-2.9903776687569916,4.219128284603357,2.6705323182977736,-4.493185640312731,-2.700156776700169,3.021331625059247|34.84551653537192,12.25937924178472,65.35788546040746,-41.897050920059506,10.694238359745865,8.365160329408635,27.53739370167552,-16.26830424366558
-1.5464681456796825,-4.664381775073707,2.7060319553129375,-3.8549859821796417,-0.5965042277239263,0.9997244132682681,0.8402428752742708,2.3678200971335173|4.604245845694095,2.4513800675049424,-4.219138186890632,0.004557278007268906,-4.243246798869222,-0.8496069395914674,-0.0969495833851397,-3.261871626600623|-18.7685727182372,-10.793103152002926,19.51690029812322,-13.428670555073218,-3.974727558436386,46.358047766630904,7.767893749337451,41.3303483869136
2.813293591607362,-3.0004432005807757,-3.597450137604028,0.026636086404323578,-2.585662954952568,0.7781219063326716,-3.8934060581959784,-0.1945906225591898|1.4719218877144158,2.542064771987498,-0.33431847812607884,2.7027017064392567,-4.256736857350916,3.9599029859527946,3.7199583812616765,4.487811150029302|20.926126116633014,37.572540597220424,14.50055258419667,-11.296982849153672,-43.9184643917175,58.33214615796032,7.22097983821913,-1.3156704809738744
0.738345303107053,-1.9471923587843776,-2.8660415788181126,4.9703723937273026,-0.1947505190037191,3.3077625138685107,0.893454251345247,-2.9304294008761644|1.7369649303145707,0.6325201177969575,2.7581671508960426,-0.7279728539288044,-2.256565054412931,1.1211046343669295,-4.735913595650345,-1.8028927501291037|-8.55669245517781,-10.805773021273392,-16.85540961300648,28.16876619921789,11.657172668730265,-8.883015548445696,-1.2635225080061039,-13.618772912924403
-4.8674128646962345,0.09861171711236238,3.1691480125300586,-4.51160054653883,-2.455901929643005,0.41405517142266035,3.936022778507322,0.7501169946044683|-0.9203576925210655,-4.5499894907698035,2.3457637685351074,-0.2528289519250393,-2.826624212320894,-0.18219462130218744,-2.1639368520118296,4.587665842846036|22.4178570524582,-5.777759344965755,-49.56441195819563,6.825529916233235,22.6811866595971,-16.487958814045534,-0.174100833349482,-28.163042940245
-3.4535963903181255,3.207006868906319,0.6578683922998607,0.10656565427780151,4.088982178363949,0.3579556895419955,0.4441078728996217,-1.8307163286954165|2.0142057281918824,-2.3739027744159102,-1.7157241818495095,-0.886057261377573,4.126927221659571,4.106859466992319,0.898626649286598,-2.9489420261234045|-5.9965789142003265,2.6973062149375524,-5.753866841924525,-18.777078665454688,8.049070020910793,8.767770671572148,1.6554172823092488,3.053745692328793
-2.448336377274245,2.7898278133943677,3.0057286913506687,3.2393912598490715,-0.2367644547484815,4.710966753773391,1.477127259131521,-0.7432723883539438|-1.7361087235622108,-3.4283615788444877,2.372867118101567,-0.8156765811145306,-2.2493348247371614,-0.20683197770267725,-0.5483756796456873,-2.47622343711555|4.936983281480684,6.29327806941558,-17.161704806450153,17.83374326818226,23.753940387809735,-6.124330068136019,-14.953571098089615,-16.891140114359523
-2.883279554080218,-3.524293857626617,0.24919741554185748,-2.934931591153145,-3.869573713745922,-4.7698620753362775,3.319108036812395,-1.5754723269492388|-0.86408058879897,-2.648210874758661,-2.270939138252288,0.47146616503596306,0.618899951223284,1.3046790426597,3.4070129483006895,-1.6377635952085257|2.5820328150038234,30.128422301728094,17.89282695357016,35.78377258434364,-11.347942049624796,-26.802714047994478,-9.800227441477915,-29.51153867398846
4.98141172574833,0.9850703226402402,-1.5693975542671978,3.4004611149430275,0.36935689160600305,0.7330656377598643,-3.1463133194483817,-3.5578154120594263|3.89649496646598,-2.4389987578615546,-1.8362603825516999,4.064695928245783,3.108676227275282,-1.4326125988736749,-3.0361413047648966,4.217774169519544|13.719262702020119,-2.8999258586291674,-3.435160116417215,25.092106011262917,16.408038506308383,2.2338945318777723,-10.900833468863292,23.000518205931733
-3.9679405163042247,-0.9948543040081859,-1.0268689622171223,-4.4238947331905365,-0.3509357734583318,3.9728932036086917,-3.0608909600414336,2.3116209637373686|4.145807151217014,4.198023551143706,-2.4438546714372933,3.504509534686804,-2.225226943846792,3.8803348457440734,-2.0166629017330706,3.911648401990533|-32.46391607499577,2.784094835283363,51.13888977168088,-35.886114492900745,-9.36991202272284,34.075366417317,33.64146925550588,5.527020996111425
4.676470116246492,-3.93504552077502,-1.944170177448541,0.3112086281180382,-4.4961804687045515,-1.4866891922429204,1.7832303396426141,-4.857818717136979|-1.8069704505614936,0.5409017065539956,-0.7711206865496933,-3.342424314469099,3.7247038655914366,-1.2093900004401803,-2.6362669304944575,2.310039522126317|-10.661438436324318,-24.999151519623304,10.120753409364369,-46.663313477063184,20.65073071577028,-9.309131456324513,-32.63141839585202,43.608774517551375
-0.7810656051151454,-2.5896842358633876,-4.011395194102079,-0.4113491624593735,-1.7918715788982809,-4.396444489248097,2.3185151792131364,-3.9743680972605944|-4.568679879885167,3.0219782376661897,-4.677097734529525,-2.4082650430500507,0.993716458324343,0.968348360620439,-1.5845591039396822,2.199049824848771|28.40385421552946,-12.295322472064605,15.407681874069239,15.383785248268305,26.7220333816053,18.63934494515047,-28.441022661984405,14.778388178239531
-3.764772533904761,4.878845517523587,-3.4127786313183606,2.5299834087491035,1.151730886194855,1.053411248140037,1.5770375332795084,-0.08883894421160221|0.7128211972303689,-1.897107451222837,-3.8274657470174134,-1.5490001998841763,4.919793012086302,1.0817323019728065,-3.76403575995937,-3.84029651992023|15.163560642906692,5.308702492173946,17.171497634943492,-16.70200994618229,18.035268592703925,2.3400586522933384,-20.023245166964784,11.425129604041205
4.94760885136202,3.774956581182778,-3.4516957332380116,-2.7295702695846558,-4.785398708190769,2.1082088304683566,4.065480751451105,-2.5196211505681276|-1.2763405102305114,-0.8504190808162093,-0.31954528065398335,1.3305545412003994,0.5186500796116889,-0.3280089283362031,-2.9150838614441454,-1.557053467258811|1.3472828649824327,-5.051747127005412,-8.771351248607465,16.881678557214812,19.692011732484296,-10.057390542434774,-24.75631824844956,-27.190919039189588
1.5998224471695721,-0.2551413280889392,4.824337630998343,2.8338850662112236,3.1419483781792223,4.323825943283737,-4.859862441662699,-2.9776827339082956|-1.6410539182834327,3.3072765031829476,0.69270248292014,0.15175538137555122,-3.1412614113651216,4.028400792740285,-2.240980996284634,-3.155353097245097|-48.13172933626977,-41.306131460078504,-19.551309861386144,-30.988070669771417,-23.56048946072639,1.4312326797110615,-32.74363662995434,-46.51726552235982
3.832096525002271,-4.3484416184946895,1.998664967250079,1.0079165548086166,3.919215260539204,-1.5583128528669477,0.38191005354747176,-3.691569836810231|-2.90222356794402,-1.6244906699284911,0.37367573706433177,2.537130396813154,1.4362438418902457,-4.936715536750853,4.96710462262854,4.580594385042787|7.080637249808298,35.39767720216565,-21.596228659330087,26.924497513118418,27.59894535748929,-18.012244111645117,6.432718510519493,27.887785239880316
-4.943856268655509,-1.550140823237598,-0.33951084362342954,-1.7812367901206017,-2.8529205708764493,-2.7362361224368215,4.971309711690992,4.467593273147941|-4.621769625227898,-0.31689369585365057,-4.418867949862033,1.6853795386850834,4.550085517112166,4.1870119562372565,4.705114157404751,2.1615006495267153|-6.728756464662034,-15.096595893084697,69.07304216619987,54.49304895027396,0.023696758636502224,-12.294986632319937,-62.30905816836679,-63.78586548482182
-1.169838912319392,-3.9386386005207896,-0.22012754576280713,-2.5936640799045563,-2.5835472508333623,2.5275744451209903,3.063457382377237,3.861104203388095|0.9723721188493073,-3.0368087952956557,-1.7588116344995797,-1.7536253668367863,3.6769176670350134,0.18300001975148916,1.6310981451533735,-0.7320007588714361|-5.4702837841240015,9.609585602394386,15.208410505938486,18.314302262621712,10.04277973992796,-12.312669123558246,-17.082792204748905,-11.636991987541254
3.2338299904949963,4.2494622664526105,4.082736491691321,-0.10078255087137222,-1.31651853909716,1.7811840353533626,-2.8369167097844183,1.9576824363321066|3.361250248271972,1.2281846860423684,4.723321001511067,2.1961593814194202,-2.153871280606836,-3.91728772316128,-1.5597835020162165,-3.3743544202297926|47.58820622546946,-6.699946540330819,28.831510096472538,35.937555276247245,-27.832366573306203,-3.299346496437816,-25.572837287660686,-9.538389066206106
-4.756683788727969,3.4943558694794774,3.4258622745983303,-2.7103375643491745,-1.3554538204334676,-4.74179529119283,-2.500472965184599,3.2084693294018507|-1.8901022779755294,1.6448042774572968,-4.784634348470718,4.711949359625578,2.014841476920992,-3.9593407744541764,-4.760261496994644,-2.120083039626479|-15.488466405719713,-22.551745894183792,23.066170332020302,-42.978255216724165,-62.194172753451575,84.36432214260267,-7.418843014646334,-37.697937628528706
-4.893730103503913,-4.131966824643314,-2.8281098161824048,3.308597393333912,3.11126189539209,2.7527954010292888,1.4017375907860696,0.9220281150192022|1.2423318740911782,2.4090643832460046,3.098517383914441,0.04713201895356178,1.442913117352873,2.2093982389196754,-1.0759571776725352,1.4712125528603792|-26.393729730542955,-10.509707047406861,-15.384886275635237,9.856472766818147,-25.168319419260175,-23.171757870256485,-17.752189318547753,4.407938301410448
